id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
137132,18000,57,Femenino,0,10568,3170,472,7000,10568,1.6,5,0,1
109752,5000,19,Femenino,0,0,5390,614,-5000,0,4.6,11,0,1
88108,6000,45,Masculino,3,16578,5526,496,10000,4144,1.9,6,0,0
174505,3500,53,Femenino,1,0,5155,554,-5000,0,2.9,11,1,0
73809,3500,45,Masculino,0,8853,0,677,8000,8853,8.3,2,1,1
85967,3500,20,Masculino,0,16595,0,492,15000,16595,1.9,5,1,1
123166,11000,43,Femenino,1,13780,6360,417,7000,6890,1.2,2,0,1
169993,18000,31,Masculino,1,33141,12427,432,20000,16570,1.2,10,0,0
135797,5500,41,Femenino,1,21136,6341,619,14000,10568,5.3,5,0,0
78465,3500,36,Femenino,0,15452,0,451,14000,15452,1.3,3,1,1
70124,3500,27,Masculino,1,0,2225,530,-2000,0,2.6,1,1,0
75456,3500,27,Femenino,0,9381,1986,576,6700,9381,3.5,3,1,0
104781,3500,26,Femenino,1,7841,8712,494,-800,3920,1.9,9,0,0
90263,3500,20,Femenino,0,5747,3094,639,2400,5747,6.1,6,0,0
142786,3500,49,Femenino,1,0,10,0,-10,0,0.0,6,1,1
135851,5500,38,Femenino,1,0,14795,548,-14000,0,2.75,5,0,0
162728,3500,33,Femenino,2,0,5206,406,-5000,0,0.9,9,0,1
99278,3500,66,Femenino,0,8751,3281,769,5000,8751,8.3,8,0,0
89579,6000,45,Femenino,0,8841,6631,468,2000,8841,1.6,6,0,1
109502,5500,61,Femenino,0,17249,6468,383,10000,17249,0.9,11,0,0
79526,3500,18,Femenino,1,13247,1655,0,10500,6623,0.0,4,0,0
72427,3500,43,Masculino,0,11066,4426,679,6000,11066,8.3,2,0,0
129594,5500,58,Femenino,1,12684,5285,725,7000,6342,8.3,3,0,0
128592,5500,25,Femenino,1,0,1268,556,-1200,0,2.9,3,0,1
98102,3500,37,Femenino,3,22971,9845,435,12000,5742,1.3,8,0,0
164376,5000,35,Femenino,2,10413,2603,504,7500,3471,2.0,9,0,0
86417,6000,34,Femenino,3,11616,6638,515,4500,2904,2.1,5,0,0
114241,3500,29,Femenino,3,10705,4817,477,5500,2676,1.6,12,0,0
166741,5500,31,Femenino,2,0,5178,621,-5000,0,5.3,10,0,0
162480,3500,57,Masculino,2,0,4165,481,-4000,0,1.8,9,1,1
115297,3500,28,Masculino,0,29974,12846,572,16000,29974,3.5,12,0,1
78081,3500,20,Femenino,0,14348,6622,614,7000,14348,4.6,3,0,0
164226,4500,49,Femenino,1,9372,3124,545,6000,4686,2.75,9,0,1
176271,6500,24,Masculino,1,0,10272,429,-10000,0,1.2,12,1,0
69097,3500,40,Masculino,0,1112,1112,423,0,1112,1.2,1,0,0
137396,5500,22,Femenino,1,10568,5284,600,5000,5284,4.6,5,0,1
106243,5500,39,Femenino,0,17576,9764,593,7200,17576,4.0,10,0,0
126542,3500,19,Femenino,1,8456,3171,519,5000,4228,2.2,3,0,0
158695,3500,26,Femenino,0,0,8334,480,-8000,0,1.8,8,1,1
