id_solicitud,Monto,Edad Solicitud,Genero,Dependientes,Ingresos,Egresos,Score CC,Ciclo,Monto_Ant,Frecuencia_Ant,Score_Ant,Deficit,IngresoPercapita,Odds,Mes inicial,Prediction,Incobrable
132126,6000,68,Femenino,0,7384,4219,513,2,3164,1.846651446,1.065857826,3000,7384,2.1,4,1,1
141548,8000,36,Femenino,3,20320,7580,419,3,5790,1.515319865,1.016360956,12100,5080,1.2,6,0,1
133270,5500,30,Femenino,2,10548,6329,493,2,3164,1.117123288,0.940250558,4000,3516,1.9,4,1,1
132826,3500,26,Femenino,2,12658,3164,583,2,2109,1.379059829,1.038330037,9000,4219,3.5,4,0,0
139967,6500,52,Femenino,1,10568,2113,550,4,6341,1.063777683,1.013950713,8000,5284,2.9,5,0,0
132178,7500,48,Masculino,2,10548,4219,688,3,7384,1.184880083,0.985495911,6000,3516,8.3,4,1,1
132878,5500,25,Masculino,1,10548,7384,610,3,5274,1.001207875,0.978589238,3000,5274,4.6,4,0,0
134924,5500,39,Femenino,0,10568,4227,650,4,4227,1.503729604,1.067836868,6000,10568,6.1,5,0,0
138197,16000,39,Masculino,0,24307,3170,425,8,8454,1.386836518,1.034440086,20000,24307,1.2,5,0,0
133662,6000,34,Femenino,0,10548,6540,507,2,3164,1.063784247,1.0,3800,10548,2.0,4,0,0
138020,5000,23,Masculino,1,15852,10568,384,2,5284,0.971977292,0.942662368,5000,7926,0.9,5,0,0
121667,10000,34,Femenino,3,8488,6366,469,5,9549,1.200181458,0.944093486,2000,2122,1.6,1,1,0
134357,11000,19,Femenino,1,9493,3692,317,4,7911,1.27935775,1.019978987,5500,4746,0.9,4,0,0
139861,3500,59,Femenino,0,13738,4227,518,2,3170,1.259057072,0.936491191,9000,13738,2.1,5,1,0
131587,14500,35,Femenino,5,16878,5274,620,6,9493,1.642032333,1.04454012,11000,2813,5.3,4,0,0
149783,10500,30,Femenino,1,8335,2083,411,5,15629,0.709185412,0.757979721,6000,4167,1.2,7,1,1
139621,9000,41,Femenino,2,17437,4227,460,7,6341,1.503627103,1.043725841,12500,5812,1.5,5,0,0
113577,3500,66,Masculino,0,6423,4282,588,2,3211,1.053938356,0.975597695,2000,6423,4.0,12,1,0
112488,5500,34,Femenino,2,8624,7546,451,2,4312,1.001206637,0.973989002,1000,2874,1.3,11,0,0
75379,7000,60,Femenino,0,12141,0,425,3,5518,0.851026694,0.0,11000,12141,1.2,3,1,1
138711,5500,33,Femenino,2,2959,11836,507,4,5284,0.945585216,0.989962882,-8400,986,2.0,5,0,0
161048,7500,36,Femenino,3,18744,3644,448,2,5206,1.063783368,1.01975759,14500,4686,1.3,9,1,1
131703,5500,68,Femenino,0,0,2109,674,2,3164,1.196428571,1.023916432,-2000,0,8.3,4,0,0
148786,5500,46,Femenino,1,10419,5209,609,5,4688,1.001208703,0.989569566,5000,5209,4.6,7,1,0
133712,5500,32,Femenino,4,8966,8439,570,2,3164,1.187377691,0.99597617,500,1793,3.2,4,0,1
133991,5500,38,Masculino,2,16878,6329,625,2,3164,1.193982387,1.012037839,10000,5626,5.3,4,0,1
131704,4500,61,Masculino,1,8439,6329,561,2,3164,1.134703196,1.00390124,2000,4219,3.2,4,0,1
117010,13000,42,Femenino,0,19098,2228,486,2,15915,1.012781186,0.869668636,15900,19098,1.8,1,1,0
112238,6000,47,Femenino,1,12936,3773,679,2,3234,1.295574289,1.015292552,8500,6468,8.3,11,0,1
135973,4500,55,Femenino,0,20079,1902,0,2,3170,1.199119374,0.0,17200,20079,0.0,5,1,0
112651,8000,61,Femenino,0,8409,1078,487,14,5390,1.001207875,0.942889006,6800,8409,1.8,11,1,0
112554,5500,53,Femenino,0,5390,16171,520,2,3234,1.063784247,0.993035191,-10000,5390,2.2,11,0,1
128157,6000,50,Femenino,0,8984,3171,560,2,3171,1.384988584,0.983193708,5500,8984,3.2,3,1,1
161243,3500,56,Femenino,1,17182,7810,498,14,3124,1.190552995,0.996400668,9000,8591,1.9,9,0,0
163459,3500,22,Femenino,0,12496,0,456,2,4165,0.654635108,0.840700114,12000,12496,1.5,9,1,0
97519,14500,42,Femenino,0,8751,7657,543,7,12032,1.489741609,1.011602246,1000,8751,2.75,8,0,0
130719,3500,39,Masculino,1,12131,4219,486,3,3164,0.945585997,0.949821612,7500,6065,1.8,4,0,0
129578,7500,37,Femenino,0,8456,2114,630,3,7927,1.280302235,0.930126156,6000,8456,5.3,3,1,0
130268,18000,30,Femenino,3,15823,4008,482,7,15823,1.063778119,1.001513617,11200,3955,1.8,4,0,0
136765,6000,51,Femenino,0,14795,9511,704,2,3170,1.063784247,1.0,5000,14795,8.3,5,0,0
87448,4000,50,Femenino,2,11936,2431,558,4,4420,0.851025641,0.808332154,8600,3978,2.9,6,1,0
140564,7000,23,Femenino,1,16909,4227,454,3,4227,1.418367347,1.037549199,12000,8454,1.5,5,0,0
138019,3500,59,Femenino,1,12153,7186,439,11,2113,0.945584046,0.8919236,4700,6076,1.3,5,0,0
141704,5500,51,Femenino,0,13687,4737,691,2,3158,1.063784247,1.015636514,8500,13687,8.3,6,0,0
132693,13000,23,Femenino,0,15823,6329,607,5,10548,1.496271122,1.056221723,9000,15823,4.6,4,0,0
115855,5500,65,Masculino,0,7493,0,735,7,5352,1.063783368,1.0,7000,7493,8.3,12,0,0
134507,10500,61,Femenino,0,12658,3164,418,3,7384,1.503649635,1.039414204,9000,12658,1.2,4,0,1
98261,3500,39,Femenino,0,9845,4375,483,3,5469,1.063783368,0.0,5000,9845,1.8,8,0,1
138096,11000,41,Masculino,0,15852,3698,587,3,10568,1.063798027,1.0,11500,15852,4.0,5,0,1
